drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"SEPCEN 750 MG, Comprimé",Boîte de 10,750 MG,IBERMA,Ciprofloxacine,"Antibiotique, fluoquinolones",Commercialisé,J01MA02,338.00 dhs,224.00 dhs,A,,,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
"SEPTANEST 40 MG / ML 1 / 100000, Solution injectable",Boîte de 50 cartouches de 1.7 ml,40 MG / ML 1 / 100000,STERIPHARMA,Articaïne | Adrenaline,Préparations composées Anesthésique local en médecine dentaire,Commercialisé,N01BB58,466.00 dhs,309.00 dhs,A,,,Anesthésie locale ou loco-régionale en pratique odonto-stomatologique.,,,,,,,,,,,,,,,,,,,,,,,
"SEPTANEST 40 MG / ML 1 / 200000, Solution injectable",Boîte de 50 cartouches de 1.7 ml,40 MG / ML 1 / 200000,STERIPHARMA,Articaïne | Adrenaline,Préparations composées Anesthésique local en médecine dentaire,Commercialisé,N01BB58,466.00 dhs,309.00 dhs,A,,,Anesthésie locale ou loco-régionale en pratique odonto-stomatologique.,,,,,,,,,,,,,,,,,,,,,,,
"SEPTIL , Poudre pour usage externe",Flacon 10 g,,AFRIC-PHAR,Polyvidone iodée,,Commercialisé,D08AG02,13.10 dhs,8.20 dhs,Aucun,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEPTOGERM, Pommade dermique",Tube de 30 g,,NON RENSEIGNÉ,,,Commercialisé,,46.50 dhs,,Aucun,,Dispositif médical,,,,,,,,,,,,,,,,,PMP PHARMA,,,,,,,
"SERDEP 20 MG, Gélule [P]",Boîte de 14,20 MG,IBERMA,Fluoxétine,"Antidépresseur, inhibiteur sélectif de la recapture de la sérotonine (ISRS)",Commercialisé,N06AB03,83.80 dhs,52.40 dhs,A,,Médicament,"Adulte
Episodes dépressifs majeurs (c'est-à-dire caractérisés).
Troubles obsessionnels compulsifs.
Boulimie: en complément d'une psychothérapie, indiqué dans la diminution de la fréquence des crises de boulimie et des vomissements ou prise de laxatifs.
Enfant âgé de 8 ans et plus et adolescent

Episode dépressif majeur (c'est-à-dire caractérisé) modéré à sévère, en cas de non réponse à l'issue de 4 à 6 séances de prise en charge psychothérapeutique. Le traitement antidépresseur ne devrait être proposé pour un enfant ou un adolescent souffrant de dépression modérée à sévère qu'en association à une prise en charge psychothérapeutique concomitante.",Oui,,,,,,,,,,,,,,,,,,,,,,
"SERDEP 20 MG, Gélule [P]",Boîte de 28,20 MG,IBERMA,Fluoxétine,"Antidépresseur, inhibiteur sélectif de la recapture de la sérotonine (ISRS)",Commercialisé,N06AB03,152.50 dhs,95.30 dhs,A,,Médicament,"Adulte
Episodes dépressifs majeurs (c'est-à-dire caractérisés).
Troubles obsessionnels compulsifs.
Boulimie: en complément d'une psychothérapie, indiqué dans la diminution de la fréquence des crises de boulimie et des vomissements ou prise de laxatifs.
Enfant âgé de 8 ans et plus et adolescent

Episode dépressif majeur (c'est-à-dire caractérisé) modéré à sévère, en cas de non réponse à l'issue de 4 à 6 séances de prise en charge psychothérapeutique. Le traitement antidépresseur ne devrait être proposé pour un enfant ou un adolescent souffrant de dépression modérée à sévère qu'en association à une prise en charge psychothérapeutique concomitante.",Oui,,,,,,,,,,,,,,,,,,,,,,
"SERELYS PERIMENOPAUSE MENOPAUSE, Comprimé",Boite de 60,,BOTTU S.A.,"PureCyTonin® Complex PI + PureCyTonin® Complex GC (extraits cytoplasmiques spécifiques, standardisés, et purifiés de pollens), agents de charge: isomalt, cellulose microcristalline; huile de coton hydrogénée, acétate de d-alphatocophérol (vitamine E), agents d’enrobage: shellac, talc; antiagglomérant : dioxyde de silicium.",,Commercialisé,,,,Aucun,,Complément alimentaire,"Le complément alimentaire Sérélys® Périménopause Ménopause est une alternative naturelle aux THM (Traitements Hormonaux de la Ménopause). Les complexes d’origine naturelle PureCyTonin® contenus dans le Sérélys® permettent de réduire l’ensemble des manifestations caractéristiques de la ménopause et de la péri-ménopause : bouffées de chaleur, sueurs nocturnes, irritabilité, fatigue passagère… Sérélys® Périménopause Ménopause permet d’améliorer sensiblement la qualité de vie de la femme de plus de 45 ans. Il convient aux femmes ne pouvant pas ou ne souhaitant pas prendre de Traitement Hormonal de la Ménopause ou de produits à base de phytoestrogènes.",,,,,,,320.00 dhs,,,,,,,,,,,,,,,,
"SERETIDE AÉROSOL 50 µg / 25 µg, Suspension pour inhalation",Flacon de 120 doses,50 µg | 25 µg,GLAXO SMITHKLINE,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec corticostéroïde",Commercialisé,R03AK06,140.00 dhs,87.50 dhs,A,,Médicament,"SERETIDE est un médicament contenant deux principes actifs, le salmétérol et le propionate de fluticasone :

· Le salmétérol est un bronchodilatateur de longue durée d’action. Les bronchodilatateurs aident à garder les bronches ouvertes. Cela permet de faciliter l’entrée et la sortie de l’air dans les poumons. L’effet dure au moins 12 heures.

· Le propionate de fluticasone est un corticoïde qui diminue l’inflammation et l’irritation dans les poumons.

Votre médecin vous a prescrit ce médicament pour aider à prévenir certains troubles respiratoires tels que l’asthme.

Vous devez utiliser SERETIDE tous les jours comme indiqué par votre médecin. Cela permettra de contrôler correctement votre asthme.

SERETIDE permet d’éviter la survenue d’essoufflement et de sifflement. Cependant, SERETIDE ne doit pas être utilisé lorsque vous avez une crise soudaine d’essoufflement ou de sifflement. Dans ces cas, vous devez utiliser votre médicament bronchodilatateur dit « de secours » d’action rapide et de courte durée, comme le salbutamol. Vous devez toujours avoir sur vous votre inhalateur dit « de secours » d’action rapide et de courte durée.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",,Oui,,,,,,,,,,,,,,,,,,,,,
"SERETIDE DISKUS 100 µg / 50 µg, Poudre pour inhalation en récipient unidose",Flacon de 60 doses,100 µg | 50 µg,GLAXO SMITHKLINE,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec corticostéroïde",Commercialisé,R03AK06,199.00 dhs,124.40 dhs,A,,Médicament,"Seretide est un médicament contenant deux principes actifs, le salmétérol et le propionate de fluticasone :

· Le salmétérol est un bêta-2 mimétique bronchodilatateur de longue durée d’action. Les bronchodilatateurs aident à garder les bronches ouvertes. Cela permet de faciliter l’entrée et la sortie de l’air dans les poumons. L’effet dure au moins 12 heures.

· Le propionate de fluticasone est un corticoïde qui diminue l’inflammation et l’irritation dans les poumons.

Votre médecin vous a prescrit ce médicament pour aider à prévenir certains troubles respiratoires tels que :

· Asthme,

· Broncho-Pneumopathie Chronique Obstructive (BPCO). Seretide Diskus 500 microgrammes/50 microgrammes/dose réduit le risque d’épisodes d’exacerbations des symptômes de votre Broncho-Pneumopathie Chronique Obstructive (BPCO).

Vous devez utiliser Seretide tous les jours comme indiqué par votre médecin. Cela permettra de contrôler correctement votre asthme ou votre BPCO.

Seretide permet d’éviter la survenue d’essoufflement et de sifflement. Cependant, Seretide ne doit pas être utilisé pour soulager une crise soudaine d’essoufflement ou de sifflement. Dans ces cas, vous devez utiliser votre médicament bronchodilatateur dit « de secours » d’action rapide et de courte durée, comme le salbutamol. Vous devez toujours avoir sur vous votre inhalateur dit « de secours » d’action rapide et de courte durée.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",,Oui,,,,,,,,,,,,,,,,,,,,,
"SERETIDE DISKUS 250 µg / 50 µg, Poudre pour inhalation en récipient unidose",Flacon de 60 doses,250 µg | 50 µg,GLAXO SMITHKLINE,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec corticostéroïde",Commercialisé,R03AK06,248.00 dhs,155.00 dhs,A,,Médicament,"Seretide est un médicament contenant deux principes actifs, le salmétérol et le propionate de fluticasone :

· Le salmétérol est un bêta-2 mimétique bronchodilatateur de longue durée d’action. Les bronchodilatateurs aident à garder les bronches ouvertes. Cela permet de faciliter l’entrée et la sortie de l’air dans les poumons. L’effet dure au moins 12 heures.

· Le propionate de fluticasone est un corticoïde qui diminue l’inflammation et l’irritation dans les poumons.

Votre médecin vous a prescrit ce médicament pour aider à prévenir certains troubles respiratoires tels que :

· Asthme,

· Broncho-Pneumopathie Chronique Obstructive (BPCO). Seretide Diskus 500 microgrammes/50 microgrammes/dose réduit le risque d’épisodes d’exacerbations des symptômes de votre Broncho-Pneumopathie Chronique Obstructive (BPCO).

Vous devez utiliser Seretide tous les jours comme indiqué par votre médecin. Cela permettra de contrôler correctement votre asthme ou votre BPCO.

Seretide permet d’éviter la survenue d’essoufflement et de sifflement. Cependant, Seretide ne doit pas être utilisé pour soulager une crise soudaine d’essoufflement ou de sifflement. Dans ces cas, vous devez utiliser votre médicament bronchodilatateur dit « de secours » d’action rapide et de courte durée, comme le salbutamol. Vous devez toujours avoir sur vous votre inhalateur dit « de secours » d’action rapide et de courte durée.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",,Oui,,,,,,,,,,,,,,,,,,,,,
"SERETIDE DISKUS 500 µg / 50 µg, Poudre pour inhalation en récipient unidose",Flacon de 60 doses,500µg | 50 µg,GLAXO SMITHKLINE,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec corticostéroïde",Commercialisé,R03AK06,338.00 dhs,224.00 dhs,A,,Médicament,"Seretide est un médicament contenant deux principes actifs, le salmétérol et le propionate de fluticasone :

· Le salmétérol est un bêta-2 mimétique bronchodilatateur de longue durée d’action. Les bronchodilatateurs aident à garder les bronches ouvertes. Cela permet de faciliter l’entrée et la sortie de l’air dans les poumons. L’effet dure au moins 12 heures.

· Le propionate de fluticasone est un corticoïde qui diminue l’inflammation et l’irritation dans les poumons.

Votre médecin vous a prescrit ce médicament pour aider à prévenir certains troubles respiratoires tels que :

· Asthme,

· Broncho-Pneumopathie Chronique Obstructive (BPCO). Seretide Diskus 500 microgrammes/50 microgrammes/dose réduit le risque d’épisodes d’exacerbations des symptômes de votre Broncho-Pneumopathie Chronique Obstructive (BPCO).

Vous devez utiliser Seretide tous les jours comme indiqué par votre médecin. Cela permettra de contrôler correctement votre asthme ou votre BPCO.

Seretide permet d’éviter la survenue d’essoufflement et de sifflement. Cependant, Seretide ne doit pas être utilisé pour soulager une crise soudaine d’essoufflement ou de sifflement. Dans ces cas, vous devez utiliser votre médicament bronchodilatateur dit « de secours » d’action rapide et de courte durée, comme le salbutamol. Vous devez toujours avoir sur vous votre inhalateur dit « de secours » d’action rapide et de courte durée.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",,Oui,,,,,,,,,,,,,,,,,,,,,
"SERFLUX 25 µG / 250 µG, Suspension pour inhalation",Flacon pressurisé contenant 120 doses,25 µG / 250 µG,RIM PHARMA,Salmétérol | flucticasone,Association d'un bronchodilatateur et d'un corticoïde.,Commercialisé,R03AK06,169.60 dhs,,A,,,"Indiqué en traitement continu de l'asthme, dans les situations où l'administration
par voie inhalée d'un médicament associant un corticoide et un bronchodilatateur ß2 agoniste de
longue durée d'action est justifiée :
- Chez des patients insuffisamment contrôlés par une corticothérapie inhalée et la prise
d'un bronchodilatateur ß2 agoniste de courte durée d'action par voie inhalée à la demande.
- Chez des patients contrôlés par l'administration d'une corticothérapie inhalée associée à
un traitement continu par ß2 agoniste de longue durée d'action par voie inhalée.",,,,,,,,,,,,,,,,,,,,,,,
"SEROPLEX 10 MG, Comprimé pelliculé sécable [P]",Boîte de 28,10 MG,MAPHAR,Escitalopram,Antidepresseur: Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS),Commercialisé,N06AB10,224.00 dhs,140.20 dhs,A,,Médicament,"Traitement de la dépression dans sa phase initiale et traitement d'entretien pour la prévention des rechutes.
Prévention de nouveaux épisodes de dépression unipolaire.
Traitement des phobies sociales.
L'efficacité à long terme en cas de phobie sociale a été démontrée sur une durée allant jusqu'à 36 semaines.

Traitement des troubles anxieux généralisés.
Troubles paniques avec ou sans agoraphobie.
Traitement des troubles obsessionnels compulsifs.",Oui,Oui,,,,,,,,,,,,,,,,,,,,,
"SEROQUEL 100 MG, Comprimé enrobé [P]",Boite de 60,100 MG,SYNTHEMEDIC,Quétiapine,Neuroleptiques atypiques,Commercialisé,N05AH04,257.00 dhs,161.20 dhs,A,,,"Adultes
Quétiapine est indiquée pour le traitement :
- de la schizophrénie.
- des épisodes maniaques lors de troubles bipolaires, à titre de monothérapie pendant 12 semaines ou en association au lithium ou au valproate durant 3 à 6 semaines.
- des épisodes dépressifs lors de troubles bipolaires.
Quétiapine est indiquée pour la prévention des récidives (avec contrôle régulier du rapport bénéfices-risques) chez les patients souffrant de troubles bipolaires qui ont répondu de façon satisfaisante à la quétiapine lors d'épisodes de manie aiguë ou de dépression aiguë.

En particulier pour traiter les épisodes dépressifs lors de troubles bipolaires, le traitement doit être initié et contrôlé par un médecin expérimenté dans le diagnostic et le traitement des troubles affectifs.

Adolescents (âgés de 13 à 17 ans)
Quétiapine est indiquée pour le traitement de la schizophrénie.

Enfants et adolescents (âgés de 10 à 17 ans)
Quétiapine est indiquée en tant que monothérapie de 3 semaines pour le traitement aigu des épisodes de manie dans le cadre d'un trouble bipolaire.",Oui,Oui,,,,,,,,,,,,,,,,,,,,,
